address,balance,share
0xf021543a3d20d20edd00120a24fa1e804ced7b6d,3.8e+20,0
0x1a81656075bc5489f0dd8b1abc03cc35fb24c747,3.8e+20,0
0xbaf4132385c1ae6f886f6eec5182a64ac6761ff8,3.8e+20,0
0x20d5ecd037e2a424cb2d88b3ba352d19a4b7129d,3.8e+20,0
0x6609ecf2d160218bc9b57bbee099e27563279dc7,3.8e+20,0
0xf5f0ce5e28581e9aec54b8e60c8655b85ce38405,3.8e+20,0
0x34451fa995e047d67a78a23a19ce74c48a5f56c0,3.8e+20,0
0x8cc4bc999d6a015661adc0f2dad7a33002468e44,3.6e+20,0
0x68192171d7b4977dca44f7ea5703866e038676a0,3.6e+20,0
0x1e3c8758fa8627f0413797586f3e112318cc0a99,3.6e+20,0
0x2a25895f92f0ea2b8f976cdf6ca200cccb811f30,3.6e+20,0
0xa38b4522a0081e19311a2004596e699910d4e33e,3.6e+20,0
0x60fbed2feb0ac407d9be09a58fb377da31bee812,3.6e+20,0
0x8c172e175eb18625a19359f233f57e6458244275,3.6e+20,0
0x743308f7dc913305947725d896ac7bef96ccdf52,3.6e+20,0
0x169d99e0c8fc0773ad89b350f848492d63afc0a4,3.6e+20,0
0xd9af75c7c16ee8f401e911a72ef5a6299d4fb6f9,3.6e+20,0
0x41abd0191bf59d8ec666d9d0b479eb2857c25dc3,3.6e+20,0
0x53c33e2d7798032d34b02eeeaa07140cd3e76347,3.6e+20,0
0xbdb3ea0c16cf1c6a4a2e1731925ea44318752f91,3.55e+20,0
0x62a7f505af4116031d27fee4d36eb39e6ec3f130,3.4e+20,0
0x601f71606854def4596ded4c80557dee609f857d,3.4e+20,0
0x81284563ae834ced2a4c33ec8c6e7103deb9ae22,3.4e+20,0
0x732abf5f85a83ae4d18f2dd0794a9427a6fea066,3.4e+20,0
0xb594911ec1a88fa293a8a310b9ae58d70aa96c57,3.4e+20,0
0x3146c90a9b24e03261587d4dce8ff0382ddc9288,3.4e+20,0
0xd8480cec448333a8d7cff571b08e0fa9ebeed79f,3.4e+20,0
0x46a40349521984b7155ded9e70d873de760a13c1,3.4e+20,0
0xb22bff88562ce46e2077354875dc1551718ce795,3.4e+20,0
0x6480a28928b8ed9aa4660cb68ce430bf93227965,3.3e+20,0
0xcb7503a53a699b6be52a8cba7d9f5e4e7095b446,3.2e+20,0
0xc40a3abb41f23ddfa4223e7a16a497c9e5b5b8db,3.2e+20,0
0xb3d6ed8e9ee027204eaf91d4eebeb84c8e0a5d05,3.2e+20,0
0x06e43f97ca614cdffa85e320260e94ca919d71df,3.2e+20,0
0x439ea688a23cf6c2b2e7a6039b32e79965777956,3.2e+20,0
0x47c0d59d68b329bb26207d8e9b627ef7dd0d65a5,3.2e+20,0
0xf0f55b71278c70e42466cdc4f0eb58562471ecce,3.2e+20,0
0xeed5973c6a8ee1b45f746fb343a6a73fe047c882,3.2e+20,0
0xbf51ac9cc00f4376250b1c941203e0023048f2fe,3.2e+20,0
0x65bfe9bfad03e9908476bb91cc8bab732f5a8b15,3.2e+20,0
0x8e65d5beb7e1a34d73caa44cc4632be7c9d2619a,3.2e+20,0
0x3b0ab0a89963abc31cd00cc122097eb71c834b03,3.2e+20,0
0xb44fc983a2aa30436e1004a0dc95d1ed7ce9b4e1,3.2e+20,0
0x2a366939f63e558e942da5a2b1591f2e22dee767,3.2e+20,0
0xcfac413fe3919c000e34d360d962155073da1fc1,3.2e+20,0
0x1429ccbf7201f61a871368263434d98c4d1c6fad,3.2e+20,0
0x8ae9d4754466374d5ca1810f3ca4887fd4526781,3.2e+20,0
0x0bcea1640e69a8452b04df5482be502cf779d130,3.2e+20,0
0xe82f92d675096f9038c476bfb716f9ac0ae30557,3.2e+20,0
0xb7b031cc794125d97fcc99190344f01588fe704f,3.2e+20,0
0x92f38bbce12d72dccdd1439bd721cc5cdc6628b1,3.1e+20,0
0x537830a9070ff3ff5dec709ddebaaf118215e7ce,3e+20,0
0xc8fb69ff2eb3fa02776e1733abf642cedabcde3e,3e+20,0
0x0d42d79a4c9c124e9a940a34776c20a6b901f782,3e+20,0
0x80c31388b6655a07eb5f2df8050a3efbdde26207,3e+20,0
0x009b01ef01d3e0da39914e1b61d3e97dab8945d9,3e+20,0
0x9ca26cf632c6c30530dd98c6b8a7ac4f94fd6182,3e+20,0
0x8b5a0eb8c4d0a600ca767beb3a6ae0882a0b7efe,3e+20,0
0x19d9cab46c47b0a6f8848a3c33cd7a6905e3e250,3e+20,0
0x79bb2950a95013a500ed1bdee12397a8f15d486e,3e+20,0
0xbbb60fe7a8ef1561afc0f90acfe5513f31693e88,3e+20,0
0xfb713fd233f8530c1fc10a8a805c410ec64072a2,3e+20,0
0xef845bb430a9c19049b8ef8903271d24a10b5e77,3e+20,0
0xe804585c2749814382648c744776f31d883ee337,3e+20,0
0xcd00e6457e25071a81c5e0d38affc49a776704d5,3e+20,0
0x023622309a8abd4b495ab1560390316dd66df81d,3e+20,0
0xab9ec995ccc8a9d4a4fef0af65cb90b403a1f5dd,3e+20,0
0x632188cf3882edba6f983cd5b87e3a522e53cc9f,3e+20,0
0x761cfd4a595c6f7c8a013efc93923cca0b91695b,3e+20,0
0xcb2fb2e7ee615d5752a19e058f30357c2aa5a749,3e+20,0
0xa573b658f229a045d6cada38392eeb74a7dce0fe,3e+20,0
0x59f93971c1b86cddba7d3f3383f4004aac3c0c73,3e+20,0
0x4b48ade1b4099fc2a1b53d7749288b23a72879fd,2.95e+20,0
0xc92782b482a4f80e7c85cf1b844d5e032d06bcba,2.91e+20,0
0x9ace65735bd662b61215dc36b9e40fbb062bf80a,2.8e+20,0
0xe28cdf28cc7dc98f218e2f9fd2151c4284af92c5,2.8e+20,0
0x15068abd892d0acae990ec6179251a8f12f57c5e,2.8e+20,0
0x144e2f6c9d9210d11dcba3d73bdcdcdf580baa5f,2.8e+20,0
0x901487deffc6f56ce38b68bcfaf0029c5529dbe7,2.8e+20,0
0xe5df517ce1813f53665c9f986457bacfbb188ab4,2.8e+20,0
0xe40a3be373ac3e652e86a18e9cd8123ab4aec690,2.8e+20,0
0xb7c3746c85f9a46fd6711ce4c878902336aa79ec,2.8e+20,0
0x4e980e890b378afba7a51d8880d1d112e233c39a,2.8e+20,0
0xdc98368eee7a92a7aa9e9a26d3993f1507cc81b8,2.8e+20,0
0x6a5c5e31eec39b434fb8d275dd64d03c7a1597a0,2.8e+20,0
0x40add4681289ebbfc872309ca425ab180ac26a49,2.8e+20,0
0x83440864d58a7176de614a72debc156d8589b816,2.8e+20,0
0x5e78d4164be4094e8bfc8e8c25f6fd5296c316c8,2.8e+20,0
0x477667bec2c427800d9207c4f383b44cc511de56,2.8e+20,0
0x1f245dd61a5b35d343f49dd1a64e6cab374c7410,2.8e+20,0
0x0bf92dcaf37077b9fcbb6df039a07223df532d1d,2.8e+20,0
0x4ee107e80fe3bf08a991ad5896bc6439a4c29153,2.8e+20,0
0x875f53657adbfa524a985d9ccb6badd92819dd4f,2.8e+20,0
0xc221c41c957328d45f381b78221253a8e7d7b5d4,2.8e+20,0
0x02a759492e3b9fad21964b99837fd58e89e554ce,2.8e+20,0
0x03372b1fe74d57d73c4f3668521b5c75b9dd88bb,2.8e+20,0
0xbc4bede6fae83d2ad830d7ad5ab86a6c78466cf4,2.8e+20,0
0xadb692d0d91205850a6ded79907b6761e884363d,2.8e+20,0
0x36ac12e708de2c1501e83d9d015e0085e2a6ae0b,2.8e+20,0
